GEO_ID,GEO.id2,GEO.display-label,Population
1500000US080010092072,80010092072,"Block Group 2, Census Tract 92.07, Adams County, Colorado",1613
1500000US080010093041,80010093041,"Block Group 1, Census Tract 93.04, Adams County, Colorado",811
1500000US080010093042,80010093042,"Block Group 2, Census Tract 93.04, Adams County, Colorado",980
1500000US080010093043,80010093043,"Block Group 3, Census Tract 93.04, Adams County, Colorado",1233
1500000US080010093044,80010093044,"Block Group 4, Census Tract 93.04, Adams County, Colorado",1089
1500000US080010093045,80010093045,"Block Group 5, Census Tract 93.04, Adams County, Colorado",1287
1500000US080010093061,80010093061,"Block Group 1, Census Tract 93.06, Adams County, Colorado",1656
1500000US080010093062,80010093062,"Block Group 2, Census Tract 93.06, Adams County, Colorado",2036
1500000US080010093071,80010093071,"Block Group 1, Census Tract 93.07, Adams County, Colorado",2005
1500000US080010093072,80010093072,"Block Group 2, Census Tract 93.07, Adams County, Colorado",1769
1500000US080010093081,80010093081,"Block Group 1, Census Tract 93.08, Adams County, Colorado",843
1500000US080010093082,80010093082,"Block Group 2, Census Tract 93.08, Adams County, Colorado",971
1500000US080010093083,80010093083,"Block Group 3, Census Tract 93.08, Adams County, Colorado",990
1500000US080010093084,80010093084,"Block Group 4, Census Tract 93.08, Adams County, Colorado",1283
1500000US080010093091,80010093091,"Block Group 1, Census Tract 93.09, Adams County, Colorado",2462
1500000US080010093092,80010093092,"Block Group 2, Census Tract 93.09, Adams County, Colorado",1151
1500000US080010093101,80010093101,"Block Group 1, Census Tract 93.10, Adams County, Colorado",1435
1500000US080010093102,80010093102,"Block Group 2, Census Tract 93.10, Adams County, Colorado",1086
1500000US080010093103,80010093103,"Block Group 3, Census Tract 93.10, Adams County, Colorado",1093
1500000US080010093104,80010093104,"Block Group 4, Census Tract 93.10, Adams County, Colorado",2213
1500000US080010093161,80010093161,"Block Group 1, Census Tract 93.16, Adams County, Colorado",1635
1500000US080010093162,80010093162,"Block Group 2, Census Tract 93.16, Adams County, Colorado",1374
1500000US080010093163,80010093163,"Block Group 3, Census Tract 93.16, Adams County, Colorado",827
1500000US080010093164,80010093164,"Block Group 4, Census Tract 93.16, Adams County, Colorado",994
1500000US080010093165,80010093165,"Block Group 5, Census Tract 93.16, Adams County, Colorado",921
1500000US080010093181,80010093181,"Block Group 1, Census Tract 93.18, Adams County, Colorado",2697
1500000US080010093182,80010093182,"Block Group 2, Census Tract 93.18, Adams County, Colorado",2967
1500000US080010093191,80010093191,"Block Group 1, Census Tract 93.19, Adams County, Colorado",946
1500000US080010093192,80010093192,"Block Group 2, Census Tract 93.19, Adams County, Colorado",719
1500000US080010093193,80010093193,"Block Group 3, Census Tract 93.19, Adams County, Colorado",940
1500000US080010093201,80010093201,"Block Group 1, Census Tract 93.20, Adams County, Colorado",1283
1500000US080010093202,80010093202,"Block Group 2, Census Tract 93.20, Adams County, Colorado",1389
1500000US080010093211,80010093211,"Block Group 1, Census Tract 93.21, Adams County, Colorado",1624
